
video_id,title,publishedAt,views,likes,comments
yZyX5zhh1FM,"May (Spa Version): Relaxing Music & Water Sounds for Spa, Sleep & Relaxation",2025-08-18T13:39:36Z,80792,1169,107
QslbVeIsbXQ,"Midnight Calm: Relaxing Music & Water Sounds for Spa, Yoga, Sleep and Relaxation",2025-07-29T19:07:02Z,103711,1527,164
HZz1j70nXZA,"1 Hour of Peaceful Instrumental Music 🌳 Birds, Piano & Guitar for Relaxation, Focus, Study or Work",2025-07-01T08:23:42Z,128608,1795,212
3pgIPEBn8nU,"All Will Be Well: Beautiful Relaxing Music & Soft Ocean Waves | Focus, Work, Study, Sleep",2025-06-12T09:04:44Z,131476,1964,205
N_9oqpCo4a0,Welcome to Soothing Relaxation 💚 Home of Beautiful Music by Peder B. Helland & Stunning Nature,2025-05-08T09:23:34Z,53504,1297,74
ucLw57gGLh0,Who else would love to relax around this campfire right now? 💚  #relaxingmusic #campfire,2025-03-28T10:03:16Z,88166,1781,98
O2lmYoQnkKk,Peaceful Spa Radio 💦 Water Sounds & Relaxing Music 24/7,2024-11-11T15:40:20Z,1246063,13433,0
Kf19H6bloGM,Breathing Technique for Stress Relief (5-5-5-5),2024-09-20T09:54:18Z,130482,1618,36
n7QiJEINlWQ,Relaxing Music & Breathing Technique for Stress Relief (5-5-5-5),2024-09-18T15:50:20Z,68090,945,26
QCiW7hsBdkk,Box Breathing Exercise to Reduce Stress & Anxiety (4-4-4-4) #breathing,2024-09-17T08:44:59Z,74595,1209,19
ttT8pDfLlbE,"Soft Touch: Light Rain, Thunder Sounds & Relaxing Piano Music | Background Music",2024-09-11T15:33:31Z,396680,3912,338
0k7WZybBuXk,Welcome to Soothing Relaxation 💚 The Shore of Dreams,2024-09-05T06:28:39Z,60011,1275,38
QJ6C1bTiRYA,The Shore of Dreams: Relaxing Sleep Music for Deep Meditation & Relaxation,2024-08-09T08:05:35Z,313096,3276,204
K0WVA_PEjEI,Beautiful Piano Music & Ocean Waves ❤️ Listen to the full playlist on our channel,2024-08-02T07:30:19Z,87347,1802,61
kBLbhgMCIzU,"Beautiful & Emotional Piano Music with Relaxing Ocean Waves | Relax, Sleep, Focus",2024-06-14T16:47:14Z,671695,6845,478
0WjEP29WF5o,"Relaxing Zen Music with Nature Sounds for Meditation, Spa, Sleep & Relaxation",2024-03-05T15:04:06Z,1037439,17404,282
5W2yfO7DAMA,When you miss summer ☀️,2024-02-29T10:39:58Z,85439,1002,30
pZVabEt_WuA,Peder B. Helland - The Promise (Improvisation) | Soothing Sessions,2024-02-05T12:37:39Z,203338,2294,234
i9Yjozs750c,Sleep & Meditation Radio 🧘‍♂️Deep Ambient Music with Fireplace 24/7,2024-02-03T14:47:11Z,460519,4565,0
